"jo","","потому что"
"tādēļ","","поэтому (официально)"
"tāpēc","","поэтому (причинно-следственная связь)"
"tātad","","значит (логическое следствие, вывод)"
"dēļ","","ради, из-за"
"nevis","","а не, вместо (противопоставление)"
"tomēr","","все же, несмотря на это"
"taču","","но, однако, хотя"
"lai","","чтобы"
"lai gan","","хотя"
"kaut","","чтобы, как бы, что"
"it (kā)","","будто бы, словно"
"gan","","и, хотя, действительно"
"savukārt","","в свою очередь"
"turklāt","","также"
"tā kā","","так как"
"piemēram","","например"
"nosacīti","","условно, относительно"
"tas ir atkarīgs no tā,","","это зависит от того"
"jo tāpēc","","вот почему"
"tā rezultātā","","в результате"
"lai arī","","несмотря на то что"
"par spīti","","вопреки, назло"
"tiklīdz","","как только"
"ja vien","","если только"
"gadījumā, ja","","в случае, если"
"kāmēr","","в то время как"
"arvien","","всегда"
"joprojām","","всё ещё"
"tikko","","только что"
"brīžiem","","иногда"
"reizēm","","временами"
"dažreiz","","порой"
"brīžam","","временами"
"sen","","давно"
"tūlīt","","немедленно"
"uzreiz","","сразу"
"pēkšņi","","внезапно"
"turpmāks","","следующий"
"pērn","","в прошлом году"
"vienmēr","","всегда"
"bieži","","часто"
"reti","","редко"
"ik pa laikam","","время от времени"
"beidzot","","наконец"
"agri","","рано"
"vēlu","","поздно"
"ilgi","","долго"
"ļoti","","очень"
"tiešām","","конечно, несомненно"
"tieši","","именно, как раз"
"īpaši","","особенно"
"gluži","","совершенно"
"gandrīz","","почти"
"teju","","чуть ли не"
"diezgan","","довольно, достаточно"
"noteikti","","определённо"
"pilnīgi","","полностью"
"itin","","вполне, совершенно"
"vismaz","","хотя бы, как минимум"
"savā ziņā","","в некотором роде"
"ārkārtīgi","","чрезвычайно"
"bezgalīgi","","бесконечно"
"prieks","","радость"
"priecāties","","радоваться"
"priecājies","","радуешься"
"vienkārši neticami","","просто невероятно"
"tik","","настолько"
"visvairāk","","больше всего"
"cerēt","","надеяться"
"sapņot","","мечтать"
"sapnis","","мечта"
"gandarījums","","удовлетворение"
"sajūsma","","восхищение"
"sašutums","","гнев"
"skumjas","","грусть"
"skumjš","","печальный"
"vilties","","разочароваться"
"viedoklis","","мнение"
"patiesība","","правда"
"mele","","ложь"
"dusmas","","злость"
"apsolījums","","обещание"
"solījums","","обет"
"rūpes","","забота"
"pārliecība","","уверенность"
"šaubas","","сомнения"
"nožēla","","сожаление"
"brīnums","","удивление"
"apbrīns","","восхищение"
"riebums","","отвращение"
"atteicības","","отношения"
"risināt","","решать"
"atrisināt","","решить (проблему)"
"pateikties","","поблагодарить"
"atbalstīt","","поддерживать"
"pierast","","привыкнуть"
"pateicīgs","","благодарный"
"priekšrocība","","преимущество, плюс"
"trūkums","","недостаток"
"priekšroka","","предпочтение"
"draudzība","","дружба"
"konflikts","","конфликт"
"strīds","","ссора"
"sadarbība","","сотрудничество"
"komunikācija","","общение"
"uzticība","","доверие"
"neuzticība","","недоверие"
"vienošanās","","соглашение"
"šķiršanās","","расставание"
"uzdevums","","задание"
"izdevums","","издание, затраты"
"veikt","","выполнять"
"sniegt","","предоставить"
"izcelties","","выделяться"
"izrauties","","вырваться"
"izlauzties","","прорваться"
"tikt","","попасть"
"tikt pie","","получить (доступ к чему-то), добраться (до чего-то)"
"tikt galā","","справиться, дойти до конца"
"ieguvums","","приобретение"
"panākums","","успех"
"uzvarēt","","победить"
"zaudēt","","проиграть"
"censties","","стараться"
"sekot","","следовать"
"apgūt","","овладеть"
"iemesls","","причина"
"atgādināt","","напомнить"
"plānot","","планировать"
"plāns","","план"
"organizēt","","организовать"
"likties","","казаться"
"šķist","","чудиться"
